trip_id,arrival_time,departure_time,stop_id,stop_sequence
P8_OUT,05:00:00,05:00:00,1,1
P8_OUT,05:05:00,05:05:00,2,2
P8_OUT,05:10:00,05:10:00,3,3
P8_OUT,05:15:00,05:15:00,4,4
P8_OUT,05:20:00,05:20:00,5,5
P8_OUT,05:25:00,05:25:00,6,6
P8_OUT,05:30:00,05:30:00,7,7
P8_OUT,05:35:00,05:35:00,8,8
P8_OUT,05:40:00,05:40:00,9,9
P8_OUT,05:45:00,05:45:00,10,10
P8_OUT,05:50:00,05:50:00,11,11
P8_OUT,05:55:00,05:55:00,12,12
P8_OUT,06:00:00,06:00:00,13,13
P8_OUT,06:05:00,06:05:00,14,14
P8_OUT,06:10:00,06:10:00,15,15
P8_OUT,06:15:00,06:15:00,16,16
P8_IN,07:00:00,07:00:00,16,1
P8_IN,07:05:00,07:05:00,15,2
P8_IN,07:10:00,07:10:00,14,3
P8_IN,07:15:00,07:15:00,13,4
P8_IN,07:20:00,07:20:00,12,5
P8_IN,07:25:00,07:25:00,11,6
P8_IN,07:30:00,07:30:00,10,7
P8_IN,07:35:00,07:35:00,9,8
P8_IN,07:40:00,07:40:00,8,9
P8_IN,07:45:00,07:45:00,7,10
P8_IN,07:50:00,07:50:00,6,11
P8_IN,07:55:00,07:55:00,5,12
P8_IN,08:00:00,08:00:00,4,13
P8_IN,08:05:00,08:05:00,3,14
P8_IN,08:10:00,08:10:00,2,15
P8_IN,08:15:00,08:15:00,1,16
